股票代码,股票名称,评分,信号数量,信号详情,最新收盘价
688009,中国通号,9,9,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",5.49
600795,国电电力,9,9,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, MA5-MA10金叉 (短线趋势), 短周期共振 (KDJ/MA5-10), RSI强劲上涨, 成交量确认, OBV资金流入",5.31
300129,泰胜风能,8,8,"四要素共振 (筑底/均线/价格/量能), MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入",8.51
600905,三峡能源,8,8,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入",4.33
300227,光韵达,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",9.99
600058,五矿发展,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), 成交量确认, ATR低波动确认",9.17
000686,东北证券,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",8.72
300011,鼎汉技术,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",8.1
601179,中国西电,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, MA5-MA10金叉 (短线趋势), 短周期共振 (KDJ/MA5-10), 成交量确认",7.68
300162,雷曼光电,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",7.63
300350,华鹏飞,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",6.74
600930,华电新能,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入",6.45
002797,第一创业,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), ATR低波动确认",7.91
300281,金明精机,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",7.75
600397,江钨装备,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",7.73
001313,粤海饲料,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 布林带低位反弹, OBV资金流入, ATR低波动确认",7.27
002178,延华智能,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入",6.66
600120,浙江东方,6,6,"四要素共振 (筑底/均线/价格/量能), 价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入",6.5
601388,怡球资源,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",3.02
