股票代码,股票名称,评分,信号数量,信号详情,最新收盘价
002109,兴化股份,9,9,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",3.93
301183,东田微,8,8,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",107.11
002861,瀛通通讯,8,8,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",19.61
002830,名雕股份,8,8,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",17.6
600356,恒丰纸业,8,8,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",9.77
002442,龙星科技,8,8,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入",6.3
300395,菲利华,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",80.91
000333,美的集团,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入, ATR低波动确认",74.89
301446,福事特,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入",35.62
001316,润贝航科,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",33.71
301522,上大股份,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",33.44
300876,蒙泰高新,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",31.54
300927,江天化学,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",25.98
002957,科瑞技术,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",21.37
003027,同兴科技,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",19.78
300480,光力科技,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入",18.55
001202,炬申股份,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, OBV资金流入, ATR低波动确认",16.53
002205,国统股份,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",15.16
300625,三雄极光,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入",12.09
002588,史丹利,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",9.56
002234,民和股份,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",8.84
000686,东北证券,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",8.72
002691,冀凯股份,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",8.39
002094,青岛金王,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",7.94
000410,沈阳机床,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",7.83
002030,达安基因,7,7,"KDJ超卖金叉, 价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",6.48
002337,赛象科技,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",6.38
002746,仙坛股份,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入, ATR低波动确认",6.23
300182,捷成股份,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",6.16
002225,濮耐股份,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",5.92
002012,凯恩股份,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",5.76
600050,中国联通,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入",5.54
300157,新锦动力,7,7,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",5.08
002092,中泰化学,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, 布林带低位反弹, OBV资金流入",4.75
300370,安控科技,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",3.13
600622,光大嘉宝,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",3.03
002285,世联行,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",2.47
002841,视源股份,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",40.96
301138,华研精机,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",36.76
600511,国药股份,6,6,"四要素共振 (筑底/均线/价格/量能), 价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入",29.89
300812,易天股份,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",25.87
001296,长江材料,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",23.99
001336,楚环科技,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",23.98
301113,雅艺科技,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",23.8
301051,信濠光电,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",23.74
301055,张小泉,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",22.85
300191,潜能恒信,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",22.35
301197,工大科雅,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",20.27
003038,鑫铂股份,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",17.94
002931,锋龙股份,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",16.95
600560,金自天正,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",16.93
300823,建科智能,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",16.66
002810,山东赫达,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",13.52
600272,开开实业,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",13.2
002249,大洋电机,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",12.25
002357,富临运业,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",9.97
300084,海默科技,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",9.88
002137,实益达,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",8.94
300281,金明精机,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",7.58
000703,恒逸石化,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",6.99
000707,双环科技,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), MA5-MA10金叉 (短线趋势), RSI强劲上涨, 成交量确认, OBV资金流入",6.67
002187,广百股份,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",6.65
000514,渝 开 发,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",5.64
300190,维尔利,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉 (中线启动), 成交量确认, ATR低波动确认",4.52
002172,澳洋健康,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",4.27
002551,尚荣医疗,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",4.13
002102,能特科技,6,6,"价格高于MA5, MA5-MA20金叉 (中线启动), RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",4.05
600370,三房巷,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",2.31
600340,华夏幸福,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",2.19
