代码,名称,当前收盘价,MA5,MA10,突破前高价,突破日,信号
002303.SZ,美盈森,4.45,4.452,4.49,4.61,20250919,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002295.SZ,精艺股份,13.2,13.129999999999999,13.882,14.85,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002249.SZ,大洋电机,11.15,10.748000000000001,11.026,11.27,20250923,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
001301.SZ,尚太科技,82.98,81.13199999999999,80.843,69.0,20250915,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002390.SZ,信邦制药,3.83,3.7960000000000007,3.7479999999999998,3.72,20250930,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002145.SZ,钛能化学,5.62,5.715999999999999,5.806,5.44,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000813.SZ,德展健康,4.1,4.082,4.176,4.4,20250915,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000885.SZ,城发环境,15.08,15.252,15.346,15.3,20250929,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
001287.SZ,中电港,22.54,22.798,22.851000000000003,23.09,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000978.SZ,桂林旅游,6.3,6.252000000000001,6.305,7.18,20250919,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000020.SZ,深华发Ａ,14.28,14.381999999999996,14.616999999999999,15.36,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
001326.SZ,联域股份,51.83,52.512,50.961,51.26,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002330.SZ,得利斯,4.77,4.754,4.766,5.15,20250915,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002083.SZ,孚日股份,6.16,5.436,5.209,5.35,20251017,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002004.SZ,华邦健康,4.92,4.715999999999999,4.639,4.78,20251017,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002184.SZ,海得控制,15.95,15.672,15.273,14.91,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000592.SZ,平潭发展,4.08,3.65,3.604,3.7,20251017,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000957.SZ,中通客车,12.35,12.276,11.727,11.95,20251015,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002183.SZ,怡 亚 通,4.98,5.048,5.171,5.49,20250916,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002245.SZ,蔚蓝锂芯,17.77,17.91,18.798,18.8,20250917,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000727.SZ,冠捷科技,2.56,2.596,2.67,3.04,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
