代码,名称,当前收盘价,MA5,MA10,突破前高价,突破日,信号
002701.SZ,奥瑞金,6.08,6.114,6.245,5.96,20251013,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002048.SZ,宁波华翔,32.81,32.248000000000005,32.805,38.02,20250929,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002255.SZ,海陆重工,8.94,8.858,9.016,8.53,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688027.SS,国盾量子,418.87,396.392,396.029,378.0,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301192.SZ,泰祥股份,35.34,34.571999999999996,34.507999999999996,33.0,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002971.SZ,和远气体,38.04,37.254,36.65,33.54,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300346.SZ,南大光电,37.61,38.08200000000001,40.04,38.43,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300854.SZ,中兰环保,21.21,19.718,19.839,22.9,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000978.SZ,桂林旅游,6.45,6.344,6.304,7.18,20250919,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
600637.SS,东方明珠,9.14,9.08,9.356,9.21,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
605155.SS,西大门,15.15,15.146,15.519,16.56,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002968.SZ,新大正,12.48,12.475999999999999,12.392,11.89,20250912,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300001.SZ,特锐德,27.49,27.410000000000004,27.740000000000002,25.76,20250923,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301391.SZ,卡莱特,84.8,84.338,82.24900000000001,72.05,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000905.SZ,厦门港务,10.59,10.088,9.372,9.0,20251017,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
600167.SS,联美控股,8.77,8.822,8.876000000000001,9.6,20250925,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
605389.SS,长龄液压,65.26,65.726,65.618,62.88,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688210.SS,统联精密,52.66,50.902,50.495,60.5,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
920576.SZ,天力复合,30.51,29.562,30.491000000000003,33.24,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002803.SZ,吉宏股份,18.0,17.96,18.131999999999998,19.07,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
600875.SS,东方电气,20.34,20.302,20.651999999999997,19.66,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002430.SZ,杭氧股份,24.58,24.637999999999998,25.684000000000005,25.8,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002294.SZ,信立泰,53.8,54.794,55.033,59.94,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688361.SS,中科飞测,123.7,119.124,123.167,105.55,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002696.SZ,百洋股份,6.67,6.659999999999999,6.617,6.63,20251014,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688653.SS,康希通信,13.15,13.006,13.341,13.92,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
600363.SS,联创光电,61.86,61.678,63.30500000000001,67.0,20251013,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300904.SZ,威力传动,87.1,80.446,84.042,73.47,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002205.SZ,国统股份,14.58,14.102,14.060999999999998,14.53,20251022,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688200.SS,华峰测控,192.63,187.386,188.515,202.0,20250923,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301525.SZ,儒竞科技,89.58,91.366,93.877,116.34,20250929,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301256.SZ,华融化学,11.04,11.038,11.148,11.29,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
600215.SS,派斯林,7.94,7.884,7.8069999999999995,7.66,20251010,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000021.SZ,深科技,29.64,28.206,28.861,27.87,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300893.SZ,松原安全,35.28,35.690000000000005,35.91799999999999,34.25,20250930,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301292.SZ,海科新源,27.56,28.014,26.854000000000003,29.86,20251020,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301215.SZ,中汽股份,6.43,6.36,6.429,6.67,20250918,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
601279.SS,英利汽车,4.51,4.456,4.4479999999999995,4.5,20251010,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688469.SS,芯联集成-U,6.57,6.398000000000001,6.5409999999999995,6.68,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002145.SZ,钛能化学,5.43,5.49,5.64,5.44,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
605566.SS,福莱蒽特,27.5,27.258,27.144,29.29,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300066.SZ,三川智慧,6.67,6.790000000000001,7.133,7.45,20251013,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
600980.SS,北矿科技,24.29,24.43,25.241999999999997,25.27,20251013,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300378.SZ,鼎捷数智,49.34,48.568,51.729,56.43,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
603917.SS,合力科技,15.31,15.246,14.834999999999999,14.94,20251015,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
603978.SS,深圳新星,22.73,21.826,22.183,22.3,20250919,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
001379.SZ,腾达科技,22.91,23.05,22.323,23.28,20251020,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300260.SZ,新莱应材,59.15,59.46,62.589999999999996,65.58,20251014,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002295.SZ,精艺股份,12.76,12.925999999999998,13.114999999999998,14.85,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002850.SZ,科达利,178.28,172.266,169.366,183.88,20250929,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300912.SZ,凯龙高科,17.37,17.18,17.158,19.89,20250918,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
603269.SS,海鸥股份,13.42,13.430000000000001,13.39,12.4,20250918,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002402.SZ,和而泰,50.37,50.467999999999996,49.789,42.1,20250918,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688206.SS,概伦电子,41.97,40.534,41.43,39.6,20250923,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002184.SZ,海得控制,16.04,15.758,15.647,14.91,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688160.SS,步科股份,83.11,83.572,86.011,107.0,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002303.SZ,美盈森,4.57,4.474,4.489,4.61,20250919,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301369.SZ,联动科技,84.78,86.194,86.703,84.9,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688147.SS,微导纳米,48.62,49.144,51.075,50.99,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688120.SS,华海清科,147.35,143.01600000000002,147.305,137.3,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002243.SZ,力合科创,9.56,9.312000000000001,9.261,9.85,20251023,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
603312.SS,西典新能,45.44,45.896,46.626000000000005,46.6,20250925,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
603618.SS,杭电股份,8.61,8.563999999999998,8.787,11.12,20250923,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000020.SZ,深华发Ａ,14.56,14.565999999999997,14.49,15.36,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002510.SZ,天汽模,6.81,6.8,6.833,7.35,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688325.SS,赛微微电,90.58,89.562,92.418,102.21,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688521.SS,芯原股份,176.88,168.95,170.004,200.0,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000977.SZ,浪潮信息,65.68,65.618,67.009,70.98,20250925,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000727.SZ,冠捷科技,2.66,2.6420000000000003,2.631,3.04,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002560.SZ,通达股份,8.39,8.418000000000001,8.200999999999999,8.26,20251016,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688138.SS,清溢光电,29.43,28.768,30.390000000000004,33.86,20251013,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301148.SZ,嘉戎技术,32.74,33.274,33.393,28.53,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301012.SZ,扬电科技,23.03,22.936,23.336000000000002,23.96,20250917,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
688175.SS,高凌信息,23.12,23.294,23.695,22.83,20250930,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300151.SZ,昌红科技,13.17,13.128,13.504000000000001,13.98,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002725.SZ,跃岭股份,16.49,16.759999999999998,16.36,15.74,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
603810.SS,丰山集团,17.68,17.292,16.798,16.52,20250930,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301308.SZ,江波龙,190.19,182.08599999999998,179.248,157.77,20250930,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300285.SZ,国瓷材料,22.08,21.676000000000002,22.1,24.78,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
605399.SS,晨光新材,13.23,13.430000000000001,13.033000000000001,13.6,20251020,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
920225.SZ,利通科技,32.88,31.396000000000004,29.743000000000002,29.4,20251017,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002059.SZ,云南旅游,5.53,5.544,5.540000000000001,7.35,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
