代码,名称,当前收盘价,MA5,MA10,突破前高价,突破日,信号
000813.SZ,德展健康,4.1,4.082,4.176,4.4,20250915,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
001206.SZ,依依股份,34.85,32.248,30.579,32.26,20251010,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
001208.SZ,华菱线缆,12.41,12.65,12.672999999999998,13.41,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002371.SZ,北方华创,406.38,405.808,421.515,427.9,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002295.SZ,精艺股份,13.24,13.104,13.865,14.85,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301008.SZ,宏昌科技,40.58,39.492000000000004,41.145,47.85,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002811.SZ,郑中设计,13.8,13.696000000000002,13.248000000000001,12.6,20251013,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000727.SZ,冠捷科技,2.56,2.596,2.67,3.04,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002967.SZ,广电计量,20.58,20.684,19.875999999999998,19.38,20251015,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002453.SZ,华软科技,6.87,6.8340000000000005,6.987,7.33,20250923,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002778.SZ,中晟高科,19.82,20.044,20.708,21.5,20250929,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002533.SZ,金杯电工,12.4,12.423999999999998,12.499,12.28,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002303.SZ,美盈森,4.46,4.442,4.474,4.61,20250919,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000885.SZ,城发环境,15.08,15.252,15.346,15.3,20250929,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300528.SZ,幸福蓝海,19.58,19.302,19.991,30.92,20250915,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300517.SZ,海波重科,11.38,11.438,11.73,12.73,20250925,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002850.SZ,科达利,169.55,166.364,173.8,183.88,20250929,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
003016.SZ,欣贺股份,8.56,8.524,8.29,8.67,20251017,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000571.SZ,新大洲A,5.89,5.864,5.631,5.58,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002910.SZ,庄园牧场,10.33,10.361999999999998,10.629,10.86,20251010,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000957.SZ,中通客车,12.35,12.276,11.727,11.95,20251015,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000592.SZ,平潭发展,4.08,3.65,3.604,3.7,20251017,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
003002.SZ,壶化股份,25.14,25.272,25.641000000000002,25.28,20250930,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002004.SZ,华邦健康,4.91,4.792,4.6770000000000005,4.78,20251017,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300859.SZ,西域旅游,40.15,39.63,40.769,53.38,20250919,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002677.SZ,浙江美大,7.15,7.175999999999999,7.236999999999999,7.15,20250917,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000978.SZ,桂林旅游,6.3,6.252000000000001,6.305,7.18,20250919,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002184.SZ,海得控制,15.45,15.563999999999998,15.392999999999997,14.91,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300912.SZ,凯龙高科,17.18,17.054,17.184,19.89,20250918,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002885.SZ,京泉华,24.93,24.682,22.401999999999997,23.87,20251016,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002775.SZ,文科股份,4.65,4.666,4.558,4.54,20251014,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002129.SZ,TCL中环,9.04,9.172,9.190999999999999,8.91,20250925,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002545.SZ,东方铁塔,14.36,14.207999999999998,14.029,14.16,20250916,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002249.SZ,大洋电机,11.35,10.854,10.966999999999999,11.27,20250923,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002703.SZ,浙江世宝,13.56,13.694000000000003,13.618,13.14,20250915,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002631.SZ,德尔未来,5.58,5.58,5.551,5.04,20250917,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002535.SZ,林州重机,3.97,3.9,3.9459999999999993,4.26,20250916,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000985.SZ,大庆华科,17.6,17.484,17.974,18.54,20250929,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300727.SZ,润禾材料,36.06,36.436,37.385000000000005,43.58,20250916,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002949.SZ,华阳国际,15.45,15.180000000000001,15.329000000000002,14.95,20250918,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002935.SZ,天奥电子,16.28,15.830000000000002,15.801999999999998,16.49,20251020,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002083.SZ,孚日股份,6.18,5.65,5.343999999999999,5.6,20251020,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
001309.SZ,德明利,185.03,184.832,190.091,155.11,20250923,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002925.SZ,盈趣科技,19.39,19.156,19.549,19.56,20250923,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002530.SZ,金财互联,10.67,10.745999999999999,11.018,12.48,20250916,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
