序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688433,华曙高科,40.56,13.45,4.81,52308.0,207440188.0,11.61,41.0,36.85,36.85,35.75,1.9,2.59,249.95,8.64,16798686528.0,8197351219.0,0.42,0.85,61.72,73.78
2,688255,凯尔达,34.02,13.36,4.01,66064.0,212968006.0,12.96,34.07,30.18,30.18,30.01,3.54,9.42,117.38,3.57,3737398757.0,2384888853.0,0.12,0.8,-7.05,27.37
3,688793,倍轻松,30.81,10.87,3.02,49456.0,148928299.0,17.09,32.29,27.54,27.54,27.79,3.81,5.75,280.68,7.12,2647978359.0,2647978359.0,-0.29,-0.13,16.79,3.39
4,600935,华塑股份,2.59,10.21,0.24,841428.0,211655638.0,11.06,2.59,2.33,2.35,2.35,10.48,2.4,-21.19,1.54,9084170693.0,9084170693.0,0.0,0.0,7.92,2.78
5,600790,轻纺城,4.16,10.05,0.38,408641.0,167237517.0,5.82,4.16,3.94,4.0,3.78,2.4,2.79,43.3,0.98,6097690260.0,6097690260.0,0.0,0.0,16.53,10.93
6,600615,丰华股份,13.05,10.03,1.19,55210.0,71135440.0,7.0,13.05,12.22,12.34,11.86,3.33,2.94,280.19,3.37,2453667629.0,2448499829.0,0.0,0.0,7.32,17.25
7,605080,浙江自然,24.48,10.02,2.23,38039.0,91976105.0,6.25,24.48,23.09,23.09,22.25,0.89,2.71,15.97,1.72,3465708019.0,3435797376.0,0.0,0.0,-18.89,4.17
8,603205,健尔康,39.77,10.01,3.62,61234.0,240367880.0,7.72,39.77,36.98,37.62,36.15,2.28,20.83,41.42,3.29,4772400000.0,1169193696.0,0.0,0.0,8.66,3.89
9,601008,连云港,6.49,10.0,0.59,2855591.0,1781518115.0,8.31,6.49,6.0,6.0,5.9,1.4,23.02,42.24,1.97,8051740659.0,8051740659.0,0.0,2.69,73.99,69.45
10,603319,美湖股份,33.77,10.0,3.07,272627.0,895829645.0,8.96,33.77,31.02,31.35,30.7,3.11,11.25,42.71,3.46,8198775899.0,8180774733.0,0.0,0.0,36.17,71.42
11,603119,浙江荣泰,42.68,10.0,3.88,232248.0,963988557.0,7.42,42.68,39.8,39.99,38.8,2.04,11.39,69.91,8.79,15524514962.0,8701576334.0,0.0,0.0,74.92,90.62
12,603359,东珠生态,5.94,10.0,0.54,357165.0,206000694.0,8.89,5.94,5.46,5.54,5.4,0.92,8.01,151.8,0.8,2649810240.0,2649810240.0,0.0,0.0,29.13,7.41
13,605208,永茂泰,11.11,10.0,1.01,366828.0,402028414.0,8.22,11.11,10.28,10.28,10.1,1.79,11.12,97.73,1.75,3665633400.0,3665633400.0,0.0,0.0,50.34,44.1
14,600860,京城股份,13.75,10.0,1.25,441911.0,583101501.0,11.84,13.75,12.27,12.27,12.5,2.97,10.15,1007.14,6.95,7530407335.0,5984432245.0,0.0,0.0,38.19,36.41
15,605018,长华集团,11.11,10.0,1.01,66773.0,71322823.0,9.5,11.11,10.15,10.19,10.1,2.28,1.42,43.64,1.94,5235318560.0,5222430960.0,0.0,0.0,13.02,26.54
16,603897,长城科技,24.66,9.99,2.24,131167.0,316140719.0,9.86,24.66,22.45,22.45,22.42,7.62,6.35,21.56,1.99,5090703893.0,5090703893.0,0.0,0.08,4.71,4.94
17,600592,龙溪股份,18.83,9.99,1.71,420825.0,773578366.0,9.23,18.83,17.25,17.25,17.12,1.49,10.53,34.07,3.01,7523593742.0,7523593742.0,0.0,0.0,68.73,91.75
18,601177,杭齿前进,18.27,9.99,1.66,369070.0,658929623.0,9.39,18.27,16.71,16.71,16.61,1.46,9.23,30.95,2.8,7453703250.0,7309096200.0,0.0,0.0,104.82,120.65
19,603178,圣龙股份,19.73,9.98,1.79,107513.0,203418183.0,8.53,19.73,18.2,18.57,17.94,3.07,4.55,509.81,3.66,4664406412.0,4664406412.0,0.0,0.0,10.22,1.65
20,601956,东贝集团,5.62,9.98,0.51,309459.0,169423883.0,9.59,5.62,5.13,5.15,5.11,2.08,5.0,27.48,1.4,3494415065.0,3476689641.0,0.0,0.0,16.6,16.36
21,603890,春秋电子,11.35,9.98,1.03,127698.0,143731398.0,3.68,11.35,10.97,11.1,10.32,1.78,2.91,23.58,1.78,4983395207.0,4983395207.0,0.0,0.0,-7.95,-3.4
22,603767,中马传动,15.11,9.97,1.37,241217.0,354247929.0,9.1,15.11,13.86,13.95,13.74,2.17,7.82,140.26,3.27,4663421965.0,4663421965.0,0.0,0.0,29.26,28.27
23,603086,先达股份,7.28,9.97,0.66,56917.0,41435379.0,0.0,7.28,7.28,7.28,6.62,0.63,1.31,36.48,1.59,3165439681.0,3165439681.0,0.0,0.0,61.78,70.09
24,601188,龙江交通,3.99,9.92,0.36,1817497.0,710087704.0,10.74,3.99,3.6,3.63,3.63,6.2,13.81,34.45,1.14,5250355498.0,5250355498.0,0.0,0.0,17.01,10.83
25,600200,江苏吴中,4.88,9.91,0.44,341337.0,162427204.0,9.46,4.88,4.46,4.46,4.44,1.38,4.8,57.82,1.93,3475300940.0,3469091862.0,0.0,0.0,-46.72,-47.64
