序号,股票代码,股票简称,涨跌幅,换手率,最新价,前期高点,前期高点日期
103,300420,五洋自控,5.69,6.02,3.16,3.04,2025-03-28
104,300531,优博讯,8.4,14.26,15.62,15.18,2025-04-22
105,300553,集智股份,7.69,11.99,51.68,47.99,2025-04-25
106,300604,长川科技,2.86,4.24,43.47,42.37,2025-04-03
107,300627,华测导航,0.76,1.82,42.53,42.21,2025-04-25
108,300644,南京聚隆,4.89,13.96,24.88,24.23,2025-04-24
109,300648,星云股份,3.27,7.38,28.38,27.63,2025-03-28
110,300650,太龙股份,4.75,10.24,14.57,14.23,2025-04-24
111,300652,雷迪克,6.49,7.53,62.4,58.6,2025-04-25
112,300702,天宇股份,1.54,3.96,21.75,21.42,2025-04-25
113,300736,百邦科技,5.06,8.03,8.72,8.71,2025-03-28
114,300789,唐源电气,3.54,4.71,26.6,26.45,2025-04-21
115,300854,中兰环保,4.64,7.72,13.76,13.28,2025-04-15
116,300861,美畅股份,5.21,3.57,18.16,17.26,2025-04-25
117,300879,大叶股份,2.38,7.05,20.22,19.75,2025-04-25
118,300929,华骐环保,3.37,4.38,8.58,8.54,2025-04-01
119,300945,曼卡龙,15.1,18.41,14.1,13.27,2025-04-22
120,300972,万辰集团,0.62,2.19,138.85,138.53,2025-04-24
121,300986,志特新材,0.56,3.95,19.7,19.59,2025-04-25
122,300990,同飞股份,0.64,5.34,45.93,45.64,2025-04-25
123,600011,华能国际,1.11,0.73,7.26,7.19,2025-04-17
124,600015,华夏银行,0.88,0.24,8.05,8.0,2025-04-24
125,600025,华能水电,1.59,0.33,9.58,9.43,2025-04-25
126,600027,华电国际,2.55,1.78,6.03,5.88,2025-04-25
127,600057,厦门象屿,0.0,0.92,6.5,6.5,2025-04-25
128,600116,三峡水利,9.97,6.8,7.61,6.92,2025-04-25
129,600149,廊坊发展,9.96,14.54,4.86,4.42,2025-04-25
130,600163,中闽能源,2.12,1.96,5.79,5.67,2025-04-25
131,600166,福田汽车,0.39,2.09,2.6,2.59,2025-04-25
132,600219,南山铝业,5.76,2.33,3.67,3.47,2025-04-21
133,600234,*ST科新,5.06,1.1,7.27,6.92,2025-04-25
134,600241,时代万恒,1.17,1.53,6.91,6.83,2025-04-25
135,600268,国电南自,2.06,2.22,7.44,7.32,2025-03-28
136,600269,赣粤高速,3.95,1.52,5.26,5.21,2025-04-03
137,600279,重庆港,4.22,5.47,5.93,5.69,2025-04-25
138,600281,华阳新材,9.91,7.06,3.66,3.38,2025-04-21
139,600283,钱江水利,0.39,1.59,10.35,10.31,2025-04-25
140,600285,羚锐制药,5.06,2.42,23.03,22.99,2025-04-15
141,600298,安琪酵母,5.73,2.26,35.62,34.96,2025-04-09
142,600307,酒钢宏兴,0.73,0.49,1.38,1.37,2025-04-25
143,600358,ST联合,4.99,2.63,4.21,4.11,2025-04-17
144,600365,ST通葡,5.0,4.51,3.15,3.1,2025-04-24
145,600396,华电辽能,9.97,4.08,3.31,3.01,2025-04-25
146,600452,涪陵电力,0.61,5.65,9.96,9.9,2025-04-25
147,600483,福能股份,1.84,1.3,9.96,9.8,2025-04-24
148,600505,西昌电力,0.0,28.35,19.04,19.04,2025-04-25
149,600507,方大特钢,0.66,2.77,4.57,4.54,2025-04-25
150,600509,天富能源,1.73,6.64,7.05,6.93,2025-04-25
151,600539,狮头股份,10.03,2.75,11.52,10.85,2025-03-28
152,600578,京能电力,9.9,2.82,4.22,3.84,2025-04-25
153,600592,龙溪股份,2.52,9.55,19.56,19.29,2025-04-24
154,600642,申能股份,0.43,0.33,9.4,9.38,2025-04-24
155,600674,川投能源,1.01,0.44,17.0,16.91,2025-04-16
156,600676,交运股份,3.95,2.36,4.21,4.07,2025-04-22
157,600678,四川金顶,10.0,11.77,7.59,7.18,2025-04-24
