代码,名称,当前收盘价,MA5,MA10,突破前高价,突破日,信号
002004.SZ,华邦健康,4.92,4.715999999999999,4.639,4.78,20251017,买入（涨停突破前高 + 缩量回踩5日线）
001301.SZ,尚太科技,82.98,81.13199999999999,80.843,76.98,20250930,买入（涨停突破前高 + 缩量回踩5日线）
001326.SZ,联域股份,51.83,52.512,50.961,51.26,20251009,买入（涨停突破前高 + 缩量回踩5日线）
