股票代码,股票名称,买入信号,评分,图表路径
300940,南极光,"RSI值为29.38，股票可能超卖; KDJ低位金叉; 放量上涨: 量比1.55, 涨幅0.46%",40,results/300940_南极光_analysis.png
300946,恒而达,"RSI值为45.71，处于低位回升阶段; 放量上涨: 量比1.71, 涨幅2.39%",30,results/300946_恒而达_analysis.png
300957,贝泰妮,MA金叉形成; RSI值为47.23，处于低位回升阶段,35,results/300957_贝泰妮_analysis.png
300960,通业科技,RSI值为39.30，处于低位回升阶段; MACD金叉形成,35,results/300960_通业科技_analysis.png
300967,晓鸣股份,RSI值为30.75，处于低位回升阶段; KDJ低位金叉,30,results/300967_晓鸣股份_analysis.png
300971,博亚精工,"放量上涨: 量比2.20, 涨幅3.69%; 突破20日前高",30,results/300971_博亚精工_analysis.png
300979,华利集团,"RSI值为44.54，处于低位回升阶段; 放量上涨: 量比1.59, 涨幅2.94%",30,results/300979_华利集团_analysis.png
300990,同飞股份,RSI值为38.93，处于低位回升阶段; KDJ低位金叉,30,results/300990_同飞股份_analysis.png
