股票代码,股票名称,买入信号,评分,图表路径
000880,潍柴重机,RSI值为34.48，处于低位回升阶段; KDJ低位金叉,30,results/000880_潍柴重机_analysis.png
000928,中钢国际,"放量上涨: 量比5.51, 涨幅4.89%; 突破20日前高",30,results/000928_中钢国际_analysis.png
