股票代码,股票名称,买入信号,评分,图表路径
600689,上海三毛,MA金叉形成; RSI值为48.69，处于低位回升阶段; MACD金叉形成,55,results/600689_上海三毛_analysis.png
600699,均胜电子,"RSI值为38.78，处于低位回升阶段; 放量上涨: 量比1.65, 涨幅1.45%",30,results/600699_均胜电子_analysis.png
600730,中国高科,RSI值为50.00，处于低位回升阶段; MACD金叉形成,35,results/600730_中国高科_analysis.png
