股票代码,股票名称,买入信号,评分,图表路径
300284,苏交科,"RSI值为46.26，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比4.17, 涨幅2.32%",45,results/300284_苏交科_analysis.png
300288,朗玛信息,RSI值为30.95，处于低位回升阶段; MACD金叉形成,35,results/300288_朗玛信息_analysis.png
300289,利德曼,"MA金叉形成; 放量上涨: 量比3.41, 涨幅7.06%; 突破20日前高",50,results/300289_利德曼_analysis.png
300296,利亚德,RSI值为35.00，处于低位回升阶段; KDJ低位金叉,30,results/300296_利亚德_analysis.png
300303,聚飞光电,RSI值为46.92，处于低位回升阶段; KDJ低位金叉,30,results/300303_聚飞光电_analysis.png
300308,中际旭创,MA金叉形成; MACD金叉形成,40,results/300308_中际旭创_analysis.png
300333,兆日科技,RSI值为36.58，处于低位回升阶段; MACD金叉形成,35,results/300333_兆日科技_analysis.png
300364,中文在线,"RSI值为45.81，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比2.30, 涨幅2.25%",45,results/300364_中文在线_analysis.png
300370,安控科技,"MACD金叉形成; 放量上涨: 量比2.89, 涨幅1.95%",35,results/300370_安控科技_analysis.png
300374,中铁装配,"放量上涨: 量比11.21, 涨幅10.50%; 突破20日前高",30,results/300374_中铁装配_analysis.png
300394,天孚通信,"RSI值为47.39，处于低位回升阶段; 放量上涨: 量比2.01, 涨幅7.77%",30,results/300394_天孚通信_analysis.png
300395,菲利华,"MACD金叉形成; 放量上涨: 量比2.85, 涨幅5.94%",35,results/300395_菲利华_analysis.png
300399,天利科技,MA金叉形成; RSI值为44.39，处于低位回升阶段,35,results/300399_天利科技_analysis.png
300423,昇辉科技,"放量上涨: 量比3.50, 涨幅6.35%; 突破20日前高",30,results/300423_昇辉科技_analysis.png
300424,航新科技,"放量上涨: 量比1.59, 涨幅3.34%; 突破20日前高",30,results/300424_航新科技_analysis.png
300425,中建环能,"放量上涨: 量比2.90, 涨幅2.29%; 突破20日前高",30,results/300425_中建环能_analysis.png
300433,蓝思科技,RSI值为34.82，处于低位回升阶段; KDJ低位金叉,30,results/300433_蓝思科技_analysis.png
300443,金雷股份,"RSI值为46.96，处于低位回升阶段; 放量上涨: 量比1.92, 涨幅3.87%",30,results/300443_金雷股份_analysis.png
