股票代码,股票名称,买入信号,评分,图表路径
600272,开开实业,"MA金叉形成; 放量上涨: 量比2.52, 涨幅1.15%",35,results/600272_开开实业_analysis.png
600280,中央商场,RSI值为50.00，处于低位回升阶段; MACD金叉形成,35,results/600280_中央商场_analysis.png
600293,三峡新材,"放量上涨: 量比2.73, 涨幅10.00%; 突破20日前高",30,results/600293_三峡新材_analysis.png
600337,美克家居,RSI值为46.67，处于低位回升阶段; KDJ低位金叉,30,results/600337_美克家居_analysis.png
