股票代码,股票名称,买入信号,评分,图表路径
002296,辉煌科技,RSI值为46.91，处于低位回升阶段; MACD金叉形成,35,results/002296_辉煌科技_analysis.png
002328,新朋股份,"RSI值为38.06，处于低位回升阶段; 放量上涨: 量比2.80, 涨幅3.10%",30,results/002328_新朋股份_analysis.png
002337,赛象科技,"MACD金叉形成; 放量上涨: 量比6.35, 涨幅10.57%; 突破20日前高",50,results/002337_赛象科技_analysis.png
