股票代码,股票名称,买入信号,评分,图表路径
000333,美的集团,RSI值为46.66，处于低位回升阶段; MACD金叉形成,35,results/000333_美的集团_analysis.png
000410,沈阳机床,"MACD金叉形成; KDJ金叉; 放量上涨: 量比2.41, 涨幅9.97%; 突破20日前高",60,results/000410_沈阳机床_analysis.png
000509,华塑控股,"MA金叉形成; 放量上涨: 量比3.42, 涨幅10.14%; 突破20日前高",50,results/000509_华塑控股_analysis.png
000514,渝 开 发,RSI值为50.00，处于低位回升阶段; MACD金叉形成,35,results/000514_渝 开 发_analysis.png
000520,凤凰航运,MA金叉形成; RSI值为47.06，处于低位回升阶段,35,results/000520_凤凰航运_analysis.png
000521,长虹美菱,RSI值为45.71，处于低位回升阶段; MACD金叉形成,35,results/000521_长虹美菱_analysis.png
