股票代码,股票名称,买入信号,评分,图表路径
002354,天娱数科,RSI值为32.58，处于低位回升阶段; KDJ低位金叉,30,results/002354_天娱数科_analysis.png
002375,亚厦股份,"放量上涨: 量比2.34, 涨幅3.26%; 突破20日前高",30,results/002375_亚厦股份_analysis.png
