股票代码,股票名称,买入信号,评分,图表路径
300570,太辰光,"RSI值为38.10，处于低位回升阶段; 放量上涨: 量比1.55, 涨幅1.11%",30,results/300570_太辰光_analysis.png
300580,贝斯特,RSI值为30.84，处于低位回升阶段; KDJ低位金叉,30,results/300580_贝斯特_analysis.png
300601,康泰生物,RSI值为45.93，处于低位回升阶段; MACD金叉形成,35,results/300601_康泰生物_analysis.png
300615,欣天科技,RSI值为44.58，处于低位回升阶段; MACD金叉形成,35,results/300615_欣天科技_analysis.png
