股票代码,股票名称,买入信号,评分,图表路径
002009,天奇股份,RSI值为37.15，处于低位回升阶段; KDJ低位金叉,30,results/002009_天奇股份_analysis.png
002030,达安基因,MA金叉形成; KDJ金叉; 突破20日前高,45,results/002030_达安基因_analysis.png
002031,巨轮智能,RSI值为34.54，处于低位回升阶段; KDJ低位金叉,30,results/002031_巨轮智能_analysis.png
002037,保利联合,RSI值为46.04，处于低位回升阶段; KDJ低位金叉,30,results/002037_保利联合_analysis.png
002038,双鹭药业,"放量上涨: 量比1.95, 涨幅4.05%; 突破20日前高",30,results/002038_双鹭药业_analysis.png
002051,中工国际,"放量上涨: 量比7.48, 涨幅3.63%; 突破20日前高",30,results/002051_中工国际_analysis.png
002053,云南能投,RSI值为50.00，处于低位回升阶段; KDJ低位金叉,30,results/002053_云南能投_analysis.png
