股票代码,股票名称,买入信号,评分,图表路径
002314,南山控股,"MA金叉形成; 放量上涨: 量比3.40, 涨幅1.66%",35,results/002314_南山控股_analysis.png
002321,华英农业,RSI值为39.62，处于低位回升阶段; KDJ低位金叉,30,results/002321_华英农业_analysis.png
002327,富安娜,"放量上涨: 量比2.11, 涨幅0.97%; 突破20日前高",30,results/002327_富安娜_analysis.png
002333,罗普斯金,"放量上涨: 量比1.59, 涨幅0.89%; 突破20日前高",30,results/002333_罗普斯金_analysis.png
002337,赛象科技,"MA金叉形成; 放量上涨: 量比5.56, 涨幅10.03%; 突破20日前高",50,results/002337_赛象科技_analysis.png
002355,兴民智通,RSI值为34.37，处于低位回升阶段; MACD金叉形成,35,results/002355_兴民智通_analysis.png
002357,富临运业,MACD金叉形成; KDJ低位金叉,35,results/002357_富临运业_analysis.png
002363,隆基机械,"MA金叉形成; 放量上涨: 量比2.98, 涨幅4.53%",35,results/002363_隆基机械_analysis.png
002375,亚厦股份,"放量上涨: 量比2.34, 涨幅3.26%; 突破20日前高",30,results/002375_亚厦股份_analysis.png
002400,省广集团,RSI值为45.34，处于低位回升阶段; KDJ低位金叉,30,results/002400_省广集团_analysis.png
