股票代码,股票名称,买入信号,评分,图表路径
300737,科顺股份,"RSI值为47.14，处于低位回升阶段; 放量上涨: 量比1.77, 涨幅0.39%",30,results/300737_科顺股份_analysis.png
300750,宁德时代,RSI值为47.78，处于低位回升阶段; KDJ低位金叉,30,results/300750_宁德时代_analysis.png
300773,拉卡拉,RSI值为48.67，处于低位回升阶段; KDJ低位金叉,30,results/300773_拉卡拉_analysis.png
300779,惠城环保,RSI值为47.63，处于低位回升阶段; MACD金叉形成,35,results/300779_惠城环保_analysis.png
