股票代码,股票名称,买入信号,评分,图表路径
603067,振华股份,"KDJ低位金叉; 放量上涨: 量比2.24, 涨幅0.60%",30,results/603067_振华股份_analysis.png
603082,北自科技,RSI值为34.04，处于低位回升阶段; KDJ低位金叉,30,results/603082_北自科技_analysis.png
