股票代码,股票名称,买入信号,评分,图表路径
002354,天娱数科,RSI值为37.50，处于低位回升阶段; MACD金叉形成,35,results/002354_天娱数科_analysis.png
002367,康力电梯,"放量上涨: 量比10.46, 涨幅7.00%; 突破20日前高",30,results/002367_康力电梯_analysis.png
002398,垒知集团,"放量上涨: 量比5.92, 涨幅4.39%; 突破20日前高",30,results/002398_垒知集团_analysis.png
002400,省广集团,"RSI值为47.09，处于低位回升阶段; 放量上涨: 量比3.47, 涨幅4.48%",30,results/002400_省广集团_analysis.png
002406,远东传动,"RSI值为50.00，处于低位回升阶段; 放量上涨: 量比1.55, 涨幅0.78%",30,results/002406_远东传动_analysis.png
002421,达实智能,"RSI值为39.68，处于低位回升阶段; 放量上涨: 量比1.70, 涨幅1.51%",30,results/002421_达实智能_analysis.png
