股票代码,股票名称,买入信号,评分,图表路径
600560,金自天正,"MACD金叉形成; 放量上涨: 量比1.97, 涨幅2.05%",35,results/600560_金自天正_analysis.png
600576,祥源文旅,"RSI值为24.26，股票可能超卖; KDJ低位金叉; 放量上涨: 量比1.94, 涨幅2.24%",40,results/600576_祥源文旅_analysis.png
600589,大位科技,"RSI值为33.58，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比1.76, 涨幅2.12%",50,results/600589_大位科技_analysis.png
600601,方正科技,"RSI值为49.73，处于低位回升阶段; 放量上涨: 量比1.91, 涨幅4.79%",30,results/600601_方正科技_analysis.png
600605,汇通能源,RSI值为41.61，处于低位回升阶段; MACD金叉形成,35,results/600605_汇通能源_analysis.png
600606,绿地控股,"KDJ低位金叉; 放量上涨: 量比1.73, 涨幅2.76%",30,results/600606_绿地控股_analysis.png
600619,海立股份,RSI值为40.86，处于低位回升阶段; KDJ低位金叉,30,results/600619_海立股份_analysis.png
600622,光大嘉宝,"MACD金叉形成; 放量上涨: 量比2.74, 涨幅4.48%",35,results/600622_光大嘉宝_analysis.png
600630,龙头股份,"放量上涨: 量比1.83, 涨幅2.03%; 突破20日前高",30,results/600630_龙头股份_analysis.png
600640,国脉文化,"KDJ低位金叉; 放量上涨: 量比2.40, 涨幅6.11%",30,results/600640_国脉文化_analysis.png
600679,上海凤凰,RSI值为49.43，处于低位回升阶段; MACD金叉形成,35,results/600679_上海凤凰_analysis.png
600684,珠江股份,RSI值为45.53，处于低位回升阶段; KDJ低位金叉,30,results/600684_珠江股份_analysis.png
600689,上海三毛,MA金叉形成; RSI值为48.69，处于低位回升阶段; MACD金叉形成,55,results/600689_上海三毛_analysis.png
600699,均胜电子,"RSI值为38.78，处于低位回升阶段; 放量上涨: 量比1.65, 涨幅1.45%",30,results/600699_均胜电子_analysis.png
600715,文投控股,RSI值为34.00，处于低位回升阶段; KDJ低位金叉,30,results/600715_文投控股_analysis.png
600730,中国高科,RSI值为50.00，处于低位回升阶段; MACD金叉形成,35,results/600730_中国高科_analysis.png
