股票代码,股票名称,买入信号,评分,图表路径
002347,泰尔股份,RSI值为36.09，处于低位回升阶段; KDJ低位金叉,30,results/002347_泰尔股份_analysis.png
002355,兴民智通,RSI值为39.62，处于低位回升阶段; KDJ低位金叉,30,results/002355_兴民智通_analysis.png
002380,科远智慧,"MACD金叉形成; 放量上涨: 量比2.30, 涨幅6.98%",35,results/002380_科远智慧_analysis.png
002381,双箭股份,MA金叉形成; KDJ金叉,30,results/002381_双箭股份_analysis.png
