股票代码,股票名称,买入信号,评分,图表路径
300227,光韵达,"MACD金叉形成; 放量上涨: 量比5.05, 涨幅8.59%; 突破20日前高",50,results/300227_光韵达_analysis.png
300267,尔康制药,MA金叉形成; RSI值为46.03，处于低位回升阶段,35,results/300267_尔康制药_analysis.png
300279,和晶科技,RSI值为48.85，处于低位回升阶段; MACD金叉形成,35,results/300279_和晶科技_analysis.png
300281,金明精机,"MA金叉形成; 放量上涨: 量比1.65, 涨幅0.91%",35,results/300281_金明精机_analysis.png
300289,利德曼,"MA金叉形成; 放量上涨: 量比3.41, 涨幅7.06%; 突破20日前高",50,results/300289_利德曼_analysis.png
300299,富春股份,RSI值为32.71，处于低位回升阶段; MACD金叉形成,35,results/300299_富春股份_analysis.png
300315,掌趣科技,RSI值为35.48，处于低位回升阶段; KDJ低位金叉,30,results/300315_掌趣科技_analysis.png
300317,珈伟新能,RSI值为48.86，处于低位回升阶段; KDJ低位金叉,30,results/300317_珈伟新能_analysis.png
300320,海达股份,RSI值为38.31，处于低位回升阶段; KDJ低位金叉,30,results/300320_海达股份_analysis.png
300334,津膜科技,"放量上涨: 量比3.32, 涨幅3.16%; 突破20日前高",30,results/300334_津膜科技_analysis.png
