股票代码,股票名称,买入信号,评分,图表路径
300407,凯发电气,MACD金叉形成; KDJ金叉,30,results/300407_凯发电气_analysis.png
300415,伊之密,RSI值为31.31，处于低位回升阶段; KDJ低位金叉,30,results/300415_伊之密_analysis.png
300417,南华仪器,MACD金叉形成; KDJ金叉,30,results/300417_南华仪器_analysis.png
300420,五洋自控,RSI值为40.00，处于低位回升阶段; KDJ低位金叉,30,results/300420_五洋自控_analysis.png
300426,华智数媒,RSI值为30.35，处于低位回升阶段; KDJ低位金叉,30,results/300426_华智数媒_analysis.png
300434,金石亚药,"放量上涨: 量比4.76, 涨幅15.11%; 突破20日前高",30,results/300434_金石亚药_analysis.png
300445,康斯特,RSI值为39.76，处于低位回升阶段; KDJ低位金叉,30,results/300445_康斯特_analysis.png
300452,山河药辅,"放量上涨: 量比1.79, 涨幅2.69%; 突破20日前高",30,results/300452_山河药辅_analysis.png
300453,三鑫医疗,RSI值为49.07，处于低位回升阶段; MACD金叉形成,35,results/300453_三鑫医疗_analysis.png
