股票代码,股票名称,买入信号,评分,图表路径
002516,旷达科技,RSI值为35.07，处于低位回升阶段; KDJ低位金叉,30,results/002516_旷达科技_analysis.png
002522,浙江众成,RSI值为43.86，处于低位回升阶段; MACD金叉形成,35,results/002522_浙江众成_analysis.png
002523,天桥起重,"放量上涨: 量比3.94, 涨幅2.10%; 突破20日前高",30,results/002523_天桥起重_analysis.png
002527,新时达,RSI值为36.43，处于低位回升阶段; KDJ低位金叉,30,results/002527_新时达_analysis.png
002530,金财互联,RSI值为36.56，处于低位回升阶段; KDJ低位金叉,30,results/002530_金财互联_analysis.png
002540,亚太科技,MACD金叉形成; KDJ金叉,30,results/002540_亚太科技_analysis.png
002542,中化岩土,"MA金叉形成; 放量上涨: 量比4.74, 涨幅10.12%; 突破20日前高",50,results/002542_中化岩土_analysis.png
002546,新联电子,"KDJ金叉; 放量上涨: 量比2.58, 涨幅11.51%; 突破20日前高",40,results/002546_新联电子_analysis.png
002547,春兴精工,RSI值为36.36，处于低位回升阶段; KDJ低位金叉,30,results/002547_春兴精工_analysis.png
002551,尚荣医疗,"MA金叉形成; 放量上涨: 量比1.50, 涨幅1.47%",35,results/002551_尚荣医疗_analysis.png
002553,南方精工,RSI值为40.49，处于低位回升阶段; KDJ低位金叉,30,results/002553_南方精工_analysis.png
002554,惠博普,"放量上涨: 量比5.14, 涨幅14.84%; 突破20日前高",30,results/002554_惠博普_analysis.png
002564,天沃科技,"KDJ低位金叉; 放量上涨: 量比2.57, 涨幅10.40%",30,results/002564_天沃科技_analysis.png
