股票代码,股票名称,买入信号,评分,图表路径
002593,日上集团,"放量上涨: 量比7.56, 涨幅9.65%; 突破20日前高",30,results/002593_日上集团_analysis.png
002614,奥佳华,"放量上涨: 量比1.76, 涨幅1.02%; 突破20日前高",30,results/002614_奥佳华_analysis.png
002659,凯文教育,MA金叉形成; RSI值为46.78，处于低位回升阶段,35,results/002659_凯文教育_analysis.png
002666,德联集团,"放量上涨: 量比1.78, 涨幅2.58%; 突破20日前高",30,results/002666_德联集团_analysis.png
002677,浙江美大,"MA金叉形成; MACD金叉形成; 放量上涨: 量比4.75, 涨幅9.99%",55,results/002677_浙江美大_analysis.png
002678,珠江钢琴,"放量上涨: 量比1.77, 涨幅9.95%; 突破20日前高",30,results/002678_珠江钢琴_analysis.png
002682,龙洲股份,"放量上涨: 量比2.89, 涨幅9.96%; 突破20日前高",30,results/002682_龙洲股份_analysis.png
