股票代码,股票名称,买入信号,评分,图表路径
000524,岭南控股,"MACD金叉形成; 放量上涨: 量比1.51, 涨幅3.64%",35,results/000524_岭南控股_analysis.png
000526,学大教育,RSI值为34.18，处于低位回升阶段; KDJ低位金叉,30,results/000526_学大教育_analysis.png
000536,华映科技,RSI值为48.15，处于低位回升阶段; MACD金叉形成,35,results/000536_华映科技_analysis.png
000544,中原环保,"放量上涨: 量比2.43, 涨幅2.98%; 突破20日前高",30,results/000544_中原环保_analysis.png
000548,湖南投资,"放量上涨: 量比8.65, 涨幅9.93%; 突破20日前高",30,results/000548_湖南投资_analysis.png
000554,泰山石油,"放量上涨: 量比2.27, 涨幅2.78%; 突破20日前高",30,results/000554_泰山石油_analysis.png
000557,西部创业,MACD金叉形成; KDJ低位金叉,35,results/000557_西部创业_analysis.png
000564,供销大集,MA金叉形成; MACD金叉形成,40,results/000564_供销大集_analysis.png
000586,汇源通信,"MA金叉形成; KDJ金叉; 放量上涨: 量比1.75, 涨幅5.74%",45,results/000586_汇源通信_analysis.png
000590,启迪药业,RSI值为38.32，处于低位回升阶段; KDJ低位金叉,30,results/000590_启迪药业_analysis.png
