股票代码,股票名称,买入信号,评分,图表路径
300625,三雄极光,"MACD金叉形成; KDJ金叉; 放量上涨: 量比1.55, 涨幅1.17%",45,results/300625_三雄极光_analysis.png
300626,华瑞股份,"放量上涨: 量比3.15, 涨幅8.84%; 突破20日前高",30,results/300626_华瑞股份_analysis.png
300637,扬帆新材,RSI值为39.96，处于低位回升阶段; KDJ低位金叉,30,results/300637_扬帆新材_analysis.png
300643,万通智控,"RSI值为43.57，处于低位回升阶段; 放量上涨: 量比3.00, 涨幅5.46%",30,results/300643_万通智控_analysis.png
300649,杭州园林,RSI值为43.89，处于低位回升阶段; MACD金叉形成,35,results/300649_杭州园林_analysis.png
300650,太龙股份,"KDJ低位金叉; 放量上涨: 量比1.84, 涨幅5.41%",30,results/300650_太龙股份_analysis.png
300651,金陵体育,RSI值为48.67，处于低位回升阶段; MACD金叉形成,35,results/300651_金陵体育_analysis.png
300654,世纪天鸿,"RSI值为44.59，处于低位回升阶段; KDJ金叉; 放量上涨: 量比1.74, 涨幅1.44%",40,results/300654_世纪天鸿_analysis.png
300671,富满微,"RSI值为33.39，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比1.84, 涨幅1.91%",45,results/300671_富满微_analysis.png
