股票代码,股票名称,买入信号,评分,图表路径
002187,广百股份,"MA金叉形成; 放量上涨: 量比3.05, 涨幅0.90%",35,results/002187_广百股份_analysis.png
002196,方正电机,RSI值为34.21，处于低位回升阶段; KDJ低位金叉,30,results/002196_方正电机_analysis.png
002212,天融信,RSI值为40.59，处于低位回升阶段; KDJ低位金叉,30,results/002212_天融信_analysis.png
002221,东华能源,RSI值为21.71，股票可能超卖; MACD金叉形成,30,results/002221_东华能源_analysis.png
002224,三 力 士,RSI值为49.09，处于低位回升阶段; MACD金叉形成,35,results/002224_三 力 士_analysis.png
002228,合兴包装,"放量上涨: 量比1.71, 涨幅2.01%; 突破20日前高",30,results/002228_合兴包装_analysis.png
002234,民和股份,"MA金叉形成; 放量上涨: 量比1.98, 涨幅1.73%",35,results/002234_民和股份_analysis.png
002243,力合科创,"KDJ金叉; 放量上涨: 量比6.43, 涨幅9.97%; 突破20日前高",40,results/002243_力合科创_analysis.png
002256,兆新股份,RSI值为43.59，处于低位回升阶段; KDJ低位金叉,30,results/002256_兆新股份_analysis.png
002264,新 华 都,RSI值为33.81，处于低位回升阶段; KDJ低位金叉,30,results/002264_新 华 都_analysis.png
002283,天润工业,RSI值为36.91，处于低位回升阶段; KDJ低位金叉,30,results/002283_天润工业_analysis.png
002285,世联行,"MACD金叉形成; 放量上涨: 量比2.12, 涨幅2.07%",35,results/002285_世联行_analysis.png
