股票代码,股票名称,买入信号,评分,图表路径
300647,超频三,"RSI值为44.00，处于低位回升阶段; 放量上涨: 量比1.71, 涨幅3.19%",30,results/300647_超频三_analysis.png
300708,聚灿光电,"放量上涨: 量比1.99, 涨幅4.13%; 突破20日前高",30,results/300708_聚灿光电_analysis.png
