股票代码,股票名称,买入信号,评分,图表路径
002815,崇达技术,RSI值为30.06，处于低位回升阶段; KDJ低位金叉,30,results/002815_崇达技术_analysis.png
002818,富森美,MA金叉形成; RSI值为46.58，处于低位回升阶段,35,results/002818_富森美_analysis.png
002819,东方中科,RSI值为44.00，处于低位回升阶段; KDJ低位金叉,30,results/002819_东方中科_analysis.png
002821,凯莱英,RSI值为47.39，处于低位回升阶段; KDJ低位金叉,30,results/002821_凯莱英_analysis.png
002828,贝肯能源,"放量上涨: 量比1.51, 涨幅2.65%; 突破20日前高",30,results/002828_贝肯能源_analysis.png
002835,同为股份,RSI值为40.56，处于低位回升阶段; KDJ低位金叉,30,results/002835_同为股份_analysis.png
002841,视源股份,"KDJ低位金叉; 放量上涨: 量比2.96, 涨幅7.25%",30,results/002841_视源股份_analysis.png
002845,同兴达,RSI值为32.71，处于低位回升阶段; KDJ低位金叉,30,results/002845_同兴达_analysis.png
002855,捷荣技术,RSI值为31.23，处于低位回升阶段; KDJ低位金叉,30,results/002855_捷荣技术_analysis.png
002861,瀛通通讯,"KDJ低位金叉; 放量上涨: 量比2.01, 涨幅4.61%",30,results/002861_瀛通通讯_analysis.png
002863,今飞凯达,RSI值为45.27，处于低位回升阶段; KDJ低位金叉,30,results/002863_今飞凯达_analysis.png
