股票代码,股票名称,买入信号,评分,图表路径
002121,科陆电子,"KDJ低位金叉; 放量上涨: 量比1.62, 涨幅8.45%",30,results/002121_科陆电子_analysis.png
002131,利欧股份,RSI值为40.09，处于低位回升阶段; KDJ低位金叉,30,results/002131_利欧股份_analysis.png
002153,石基信息,RSI值为41.28，处于低位回升阶段; KDJ低位金叉,30,results/002153_石基信息_analysis.png
002160,常铝股份,"放量上涨: 量比8.88, 涨幅10.08%; 突破20日前高",30,results/002160_常铝股份_analysis.png
002187,广百股份,"MA金叉形成; 放量上涨: 量比3.05, 涨幅0.90%",35,results/002187_广百股份_analysis.png
002196,方正电机,RSI值为34.21，处于低位回升阶段; KDJ低位金叉,30,results/002196_方正电机_analysis.png
002212,天融信,RSI值为40.59，处于低位回升阶段; KDJ低位金叉,30,results/002212_天融信_analysis.png
002221,东华能源,RSI值为21.71，股票可能超卖; MACD金叉形成,30,results/002221_东华能源_analysis.png
002224,三 力 士,RSI值为49.09，处于低位回升阶段; MACD金叉形成,35,results/002224_三 力 士_analysis.png
002228,合兴包装,"放量上涨: 量比1.71, 涨幅2.01%; 突破20日前高",30,results/002228_合兴包装_analysis.png
