股票代码,股票名称,买入信号,评分,图表路径
301290,东星医疗,RSI值为44.36，处于低位回升阶段; KDJ低位金叉,30,results/301290_东星医疗_analysis.png
301301,川宁生物,RSI值为44.65，处于低位回升阶段; KDJ低位金叉,30,results/301301_川宁生物_analysis.png
301313,凡拓数创,RSI值为47.32，处于低位回升阶段; MACD金叉形成,35,results/301313_凡拓数创_analysis.png
301315,威士顿,RSI值为36.97，处于低位回升阶段; KDJ低位金叉,30,results/301315_威士顿_analysis.png
301317,鑫磊股份,RSI值为37.36，处于低位回升阶段; KDJ低位金叉,30,results/301317_鑫磊股份_analysis.png
301318,维海德,RSI值为38.83，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/301318_维海德_analysis.png
301332,德尔玛,RSI值为35.46，处于低位回升阶段; MACD金叉形成,35,results/301332_德尔玛_analysis.png
301336,趣睡科技,"RSI值为48.47，处于低位回升阶段; 放量上涨: 量比2.64, 涨幅0.99%",30,results/301336_趣睡科技_analysis.png
301337,亚华电子,RSI值为39.26，处于低位回升阶段; MACD金叉形成,35,results/301337_亚华电子_analysis.png
301359,东南电子,RSI值为36.15，处于低位回升阶段; MACD金叉形成,35,results/301359_东南电子_analysis.png
301363,美好医疗,"RSI值为42.76，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比2.72, 涨幅6.53%",45,results/301363_美好医疗_analysis.png
301366,一博科技,RSI值为39.17，处于低位回升阶段; KDJ低位金叉,30,results/301366_一博科技_analysis.png
301370,国科恒泰,RSI值为43.51，处于低位回升阶段; MACD金叉形成,35,results/301370_国科恒泰_analysis.png
301377,鼎泰高科,"MA金叉形成; MACD金叉形成; 放量上涨: 量比1.76, 涨幅10.94%",55,results/301377_鼎泰高科_analysis.png
301378,通达海,RSI值为44.91，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/301378_通达海_analysis.png
301380,挖金客,RSI值为39.77，处于低位回升阶段; KDJ低位金叉,30,results/301380_挖金客_analysis.png
301389,隆扬电子,"RSI值为34.99，处于低位回升阶段; 放量上涨: 量比3.54, 涨幅9.50%",30,results/301389_隆扬电子_analysis.png
301392,汇成真空,"RSI值为24.70，股票可能超卖; KDJ低位金叉; 放量上涨: 量比1.51, 涨幅4.17%",40,results/301392_汇成真空_analysis.png
301428,世纪恒通,RSI值为33.82，处于低位回升阶段; KDJ低位金叉,30,results/301428_世纪恒通_analysis.png
301446,福事特,"MA金叉形成; MACD金叉形成; 放量上涨: 量比2.41, 涨幅12.05%",55,results/301446_福事特_analysis.png
301456,盘古智能,"放量上涨: 量比1.86, 涨幅7.67%; 突破20日前高",30,results/301456_盘古智能_analysis.png
301479,弘景光电,"RSI值为37.30，处于低位回升阶段; 放量上涨: 量比2.58, 涨幅1.80%",30,results/301479_弘景光电_analysis.png
301489,思泉新材,RSI值为32.14，处于低位回升阶段; KDJ低位金叉,30,results/301489_思泉新材_analysis.png
301508,中机认检,"RSI值为44.06，处于低位回升阶段; MACD金叉形成; KDJ低位金叉; 放量上涨: 量比1.64, 涨幅1.34%",65,results/301508_中机认检_analysis.png
301511,德福科技,"RSI值为40.32，处于低位回升阶段; 放量上涨: 量比2.24, 涨幅3.76%",30,results/301511_德福科技_analysis.png
301522,上大股份,"MACD金叉形成; KDJ低位金叉; 放量上涨: 量比3.03, 涨幅6.63%",50,results/301522_上大股份_analysis.png
301526,国际复材,"RSI值为34.51，处于低位回升阶段; 放量上涨: 量比2.43, 涨幅0.99%",30,results/301526_国际复材_analysis.png
