股票代码,股票名称,买入信号,评分,图表路径
301161,唯万密封,"RSI值为39.61，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比3.94, 涨幅8.66%",45,results/301161_唯万密封_analysis.png
301169,零点有数,RSI值为43.85，处于低位回升阶段; MACD金叉形成,35,results/301169_零点有数_analysis.png
301170,锡南科技,RSI值为46.60，处于低位回升阶段; MACD金叉形成,35,results/301170_锡南科技_analysis.png
301172,君逸数码,"RSI值为49.30，处于低位回升阶段; 放量上涨: 量比2.56, 涨幅3.20%",30,results/301172_君逸数码_analysis.png
301173,毓恬冠佳,RSI值为34.03，处于低位回升阶段; KDJ低位金叉,30,results/301173_毓恬冠佳_analysis.png
301183,东田微,MA金叉形成; MACD金叉形成,40,results/301183_东田微_analysis.png
301193,家联科技,RSI值为49.88，处于低位回升阶段; MACD金叉形成,35,results/301193_家联科技_analysis.png
301195,北路智控,"RSI值为48.75，处于低位回升阶段; MACD金叉形成; KDJ低位金叉; 放量上涨: 量比1.79, 涨幅1.11%",65,results/301195_北路智控_analysis.png
301196,唯科科技,"RSI值为32.36，处于低位回升阶段; 放量上涨: 量比1.59, 涨幅3.28%",30,results/301196_唯科科技_analysis.png
301197,工大科雅,"MACD金叉形成; 放量上涨: 量比2.48, 涨幅3.21%",35,results/301197_工大科雅_analysis.png
301200,大族数控,"RSI值为47.36，处于低位回升阶段; 放量上涨: 量比1.56, 涨幅2.02%",30,results/301200_大族数控_analysis.png
301203,国泰环保,MA金叉形成; RSI值为44.02，处于低位回升阶段,35,results/301203_国泰环保_analysis.png
301208,中亦科技,RSI值为30.44，处于低位回升阶段; KDJ低位金叉,30,results/301208_中亦科技_analysis.png
301211,亨迪药业,"放量上涨: 量比7.76, 涨幅14.69%; 突破20日前高",30,results/301211_亨迪药业_analysis.png
301213,观想科技,MA金叉形成; RSI值为44.18，处于低位回升阶段,35,results/301213_观想科技_analysis.png
301215,中汽股份,RSI值为37.13，处于低位回升阶段; KDJ低位金叉,30,results/301215_中汽股份_analysis.png
