股票代码,股票名称,买入信号,评分,图表路径
002175,东方智造,RSI值为30.26，处于低位回升阶段; KDJ低位金叉,30,results/002175_东方智造_analysis.png
002178,延华智能,RSI值为38.66，处于低位回升阶段; MACD金叉形成,35,results/002178_延华智能_analysis.png
002187,广百股份,"MACD金叉形成; 放量上涨: 量比1.94, 涨幅3.74%",35,results/002187_广百股份_analysis.png
002193,如意集团,RSI值为44.61，处于低位回升阶段; KDJ低位金叉,30,results/002193_如意集团_analysis.png
002195,岩山科技,RSI值为42.42，处于低位回升阶段; KDJ低位金叉,30,results/002195_岩山科技_analysis.png
002205,国统股份,"MACD金叉形成; KDJ金叉; 放量上涨: 量比3.66, 涨幅11.31%; 突破20日前高",60,results/002205_国统股份_analysis.png
002207,准油股份,"放量上涨: 量比1.54, 涨幅3.23%; 突破20日前高",30,results/002207_准油股份_analysis.png
002209,达 意 隆,RSI值为41.38，处于低位回升阶段; MACD金叉形成; KDJ金叉,45,results/002209_达 意 隆_analysis.png
002224,三 力 士,RSI值为33.33，处于低位回升阶段; KDJ低位金叉,30,results/002224_三 力 士_analysis.png
002225,濮耐股份,"MACD金叉形成; 放量上涨: 量比2.09, 涨幅5.53%",35,results/002225_濮耐股份_analysis.png
002229,鸿博股份,RSI值为34.84，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/002229_鸿博股份_analysis.png
