日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-10-13,920786,4.46,4.54,4.54,4.03,230948,102846894.89,10.63,-5.42,-0.26,28.91
2023-10-16,920786,4.18,4.14,4.25,4.12,58261,25508314.55,2.86,-8.81,-0.4,7.29
2023-10-17,920786,4.15,4.08,4.2,4.06,34795,14948945.06,3.38,-1.45,-0.06,4.36
2023-10-18,920786,4.08,4.02,4.08,4.02,17701,7514777.42,1.47,-1.47,-0.06,2.22
2023-10-19,920786,4.01,3.88,4.01,3.87,32032,13215461.19,3.48,-3.48,-0.14,4.01
2023-10-20,920786,3.91,3.83,3.92,3.8,25643,10327431.78,3.09,-1.29,-0.05,3.21
2023-10-23,920786,3.85,3.82,3.86,3.8,10705,4307865.16,1.57,-0.26,-0.01,1.34
2023-10-24,920786,3.82,3.87,3.88,3.82,8322,3371893.65,1.57,1.31,0.05,1.04
2023-10-25,920786,3.98,3.93,4.02,3.92,15477,6421596.98,2.58,1.55,0.06,1.94
2023-10-26,920786,3.93,4.01,4.02,3.88,12684,5268096.43,3.56,2.04,0.08,1.59
2023-10-27,920786,4.0,4.18,4.27,3.96,53565,23311918.12,7.73,4.24,0.17,6.71
2023-10-30,920786,4.13,4.11,4.18,4.07,35323,15250836.57,2.63,-1.67,-0.07,4.42
2023-10-31,920786,4.08,4.07,4.13,4.05,19883,8511320.47,1.95,-0.97,-0.04,2.49
2023-11-01,920786,4.09,4.0,4.09,3.99,15093,6381226.59,2.46,-1.72,-0.07,1.89
2023-11-02,920786,3.96,3.99,4.03,3.96,9019,3781167.6,1.75,-0.25,-0.01,1.13
2023-11-03,920786,3.99,4.02,4.07,3.99,6087,2579459.2,2.01,0.75,0.03,0.76
2023-11-06,920786,4.05,4.05,4.06,4.01,9010,3820478.31,1.24,0.75,0.03,1.13
2023-11-07,920786,4.06,4.11,4.13,4.03,13425,5752455.91,2.47,1.48,0.06,1.68
2023-11-08,920786,4.13,4.17,4.23,4.1,32802,14378444.47,3.16,1.46,0.06,4.11
2023-11-09,920786,4.15,4.17,4.2,4.12,15065,6558865.63,1.92,0.0,0.0,1.89
2023-11-10,920786,4.15,4.15,4.18,4.13,9616,4180539.12,1.2,-0.48,-0.02,1.2
2023-11-13,920786,4.15,4.15,4.2,4.15,7547,3292406.0,1.2,0.0,0.0,0.94
2023-11-14,920786,4.17,4.18,4.18,4.13,12524,5458030.84,1.2,0.72,0.03,1.57
2023-11-15,920786,4.19,4.19,4.23,4.19,18108,7983676.67,0.96,0.24,0.01,2.27
2023-11-16,920786,4.19,4.13,4.19,4.12,12626,5488072.86,1.67,-1.43,-0.06,1.58
2023-11-17,920786,4.15,4.14,4.15,4.11,8300,3598508.97,0.97,0.24,0.01,1.04
2023-11-20,920786,4.16,4.3,4.32,4.14,33180,14793121.0,4.35,3.86,0.16,4.15
2023-11-21,920786,4.29,4.65,4.87,4.28,123371,59497616.96,13.72,8.14,0.35,15.45
2023-11-22,920786,4.57,5.01,5.05,4.55,148282,74734781.42,10.75,7.74,0.36,18.56
2023-11-23,920786,5.06,4.87,5.46,4.82,162528,85886999.12,12.77,-2.79,-0.14,20.35
2023-11-24,920786,4.96,6.0,6.1,4.9,229451,129745576.47,24.64,23.2,1.13,28.73
2023-11-27,920786,6.2,7.01,7.12,5.94,252236,170899770.16,19.67,16.83,1.01,31.58
2023-11-28,920786,6.46,6.38,7.2,6.36,165898,115982169.12,11.98,-8.99,-0.63,20.77
2023-11-29,920786,6.63,5.83,6.74,5.68,154946,100430666.52,16.61,-8.62,-0.55,19.4
2023-11-30,920786,5.89,5.99,6.19,5.58,102953,62766485.97,10.46,2.74,0.16,12.89
2023-12-01,920786,6.01,6.15,6.67,6.0,123851,80817312.17,11.19,2.67,0.16,15.51
2023-12-04,920786,5.99,5.88,6.09,5.63,72164,43702937.32,7.48,-4.39,-0.27,9.03
2023-12-05,920786,5.8,7.7,7.7,5.72,272425,202042655.97,33.67,30.95,1.82,34.11
2023-12-06,920786,8.6,7.6,9.07,7.26,367736,310908007.2,23.51,-1.3,-0.1,46.04
